"title", source, price, sold, size, url
"Veja Nova V-logo White Pierre Canvas Shoes Vegan Organic Cotton Retro Minimalist", eBay, $79.00, Available, Unknown, https://www.ebay.com/itm/193759161450?hash=item2d1cf22c6a:g:-qsAAOSwdihfuBqE
"Veja Lemaire Leather Canvas Combination Boots 27 Men 9.0US", eBay, $317.98, Available, Unknown, https://www.ebay.com/itm/154204229908?hash=item23e749d114:g:OgIAAOSw3PRft9qQ
"Veja Lemaire Leather Canvas Combination Boots 26 Men 8.0US", eBay, $317.98, Available, Unknown, https://www.ebay.com/itm/154204229898?hash=item23e749d10a:g:ZSQAAOSwCjJft9qN
"Brand new veja Baby sneakers size 23 without a box", eBay, $90.00, Available, Unknown, https://www.ebay.com/itm/264945136755?hash=item3daff5f473:g:iTMAAOSwB1NftyT~
"O Sujeito Paulo Coelho Na Revista Veja by Cleberson Disessa (Portuguese) Paperba", eBay, $83.60, Available, Unknown, https://www.ebay.com/itm/363180588564?epid=25042018636&hash=item548f3ffe14:g:r40AAOSwiI9fsQEv
"Veja Suede Men’s Sneakers Boat Shoe Mediterranne Navy Brown Capsule Sz 8", eBay, $19.99, Available, Unknown, https://www.ebay.com/itm/383811934960?hash=item595cf95af0:g:WgMAAOSwxp1fsJXy
"Veja 3-Lock Logo Leather Extra White-Black Women's Sneaker", eBay, $165.00, Available, Unknown, https://www.ebay.com/itm/184531702199?hash=item2af6f251b7:g:KFwAAOSw27dfrE8z
"Veja Rio Branco men's sneaker Hexamesh Gravel Orange Florescent Sold out rare 10", eBay, $140.00, Available, Unknown, https://www.ebay.com/itm/313296024025?hash=item48f1e5f1d9:g:6f8AAOSwgzVfrBMW
"Veja V-10 Sneakers in Colorblock Size 8", eBay, $128.00, Available, Unknown, https://www.ebay.com/itm/184530204023?hash=item2af6db7577:g:EzcAAOSwY1Ffquw4
"Veja Sneakers Womens ~ Size 37 US 6 ~ V-10 B - Mesh Lace Up Shoes Trainers Style", eBay, $97.43, Available, Unknown, https://www.ebay.com/itm/174511557256?hash=item28a1b30a88:g:v-EAAOSwRkNfqSpq
"Veja Wata suede Women shoes Sz5", eBay, $95.00, Available, Unknown, https://www.ebay.com/itm/264928278623?hash=item3daef4b85f:g:6bwAAOSwDphfpiFG
"VEJA WOMEN ESPLAR EXTRA WHITE SNEAKERS EA2001 EUR 37 US 6", eBay, $99.00, Available, Unknown, https://www.ebay.com/itm/133568430933?hash=item1f194c8355:g:-b4AAOSwngJeVZNt
"VEJA WOMEN ESPLAR LEATHER WHITE BLACK SNEAKER EO020005 EUR 41 US 10", eBay, $109.00, Available, Unknown, https://www.ebay.com/itm/133568408862?hash=item1f194c2d1e:g:-NkAAOSw5K5eVY7E
"VEJA V-10 VEGAN WHITE MARSALA RED SNEAKERS VX072153 EUR 45 US 12", eBay, $119.00, Available, Unknown, https://www.ebay.com/itm/133568401944?hash=item1f194c1218:g:AXIAAOSwxF5fpbui
"VEJA V-10 VEGAN WHITE MARSALA RED SNEAKERS VX072153 EUR 44 US 11", eBay, $119.00, Available, Unknown, https://www.ebay.com/itm/133568401490?hash=item1f194c1052:g:AXIAAOSwxF5fpbui
"VEJA V-10 VEGAN WHITE MARSALA RED SNEAKERS VX072153 EUR 42 US 9", eBay, $119.00, Available, Unknown, https://www.ebay.com/itm/133568400988?hash=item1f194c0e5c:g:AXIAAOSwxF5fpbui
"VEJA ESPLAR LOGO MENS EXTRA WHITE SNEAKERS EA2001 EAM2001 EUR 45 US 12", eBay, $99.00, Available, Unknown, https://www.ebay.com/itm/133568396251?hash=item1f194bfbdb:g:jhcAAOSwg0deWUoo
"VEJA ESPLAR LOGO MENS EXTRA WHITE SNEAKERS EA2001 EAM2001 EUR 40 US 7", eBay, $99.00, Available, Unknown, https://www.ebay.com/itm/133568395315?hash=item1f194bf833:g:jhcAAOSwg0deWUoo
"VEJA ESPLAR LOGO WHITE BLACK CLEAN SNEAKERS EO020005 EUR 43 US 10", eBay, $99.00, Available, Unknown, https://www.ebay.com/itm/133568390704?hash=item1f194be630:g:3uYAAOSwx8NfpbYA
