"title", price, sold, size, url
"Green Ribbed Knit Cami Crop Top", $10, Available, XS, https://poshmark.com/listing/Green-Ribbed-Knit-Cami-Crop-Top-5ef3af3a3cda882aa6aaff4b
"Brandy Melville Hand Dyed Tee", $20, Available, On size, https://poshmark.com/listing/Brandy-Melville-Hand-Dyed-Tee-5ef3ad876e2846ee3810a1b3
"lavender john galt brandy melville top", $11, Available, one size, https://poshmark.com/listing/lavender-john-galt-brandy-melville-top-5ef3a7e8074d247899de6091
"Brandy Melville // John Galt Top🌛", $29, Available, S, https://poshmark.com/listing/Brandy-Melville-John-Galt-Top-5ef3a4b87f80d26e204349d3
"john galt black piper cargo pants", $32, Available, 24, https://poshmark.com/listing/john-galt-black-piper-cargo-pants-5ef3a521ac97023faf1a14b7
"BRANDY MELVILLE ROMPER STRIPED", $14, Available, O/S, https://poshmark.com/listing/BRANDY-MELVILLE-ROMPER-STRIPED-5ef3a205163df4296f554cc6
"Brandy Melville Bella top 💛", $20, Available, One size, https://poshmark.com/listing/Brandy-Melville-Bella-top-5ef39b9d3a0db9c73e269e23
"JOHN GALT flag crop top", $12, Available, S, https://poshmark.com/listing/JOHN-GALT-flag-crop-top-5ef39a479e15591004eebd43
"Vintage Ann Taylor square neck ribbed tank top", $35, Available, S, https://poshmark.com/listing/Vintage-Ann-Taylor-square-neck-ribbed-tank-top-5ef39a2367bd912ec89c20da
"black brandy melville john galt top", $12, Available, one size, https://poshmark.com/listing/black-brandy-melville-john-galt-top-5ef39a08941f17dad61afe57
"LA Hearts festival knit crop top", $25, Available, XS, https://poshmark.com/listing/LA-Hearts-festival-knit-crop-top-5ef399553a0db9abba268d3b
"Brandy Melville Gerry Poppy Top", $10, Available, S, https://poshmark.com/listing/Brandy-Melville-Gerry-Poppy-Top-5ef3920e3bad6dbf22275204
"Brandy Melville/ John Galt Tube Top", $14, Available, Brandy Melville One size, https://poshmark.com/listing/Brandy-Melville-John-Galt-Tube-Top-5ef391371801362459cce3b6
"Brandy Melville Pink tube top", $16, Available, OS, https://poshmark.com/listing/Brandy-Melville-Pink-tube-top-5ef391fdbcdb2f0e5b33e039
"John Galt Black Chiffon Mini Skirt", $25, Available, S, https://poshmark.com/listing/John-Galt-Black-Chiffon-Mini-Skirt-5ef38e673cda881dd678fd86
"Red Ruffled Tank Top", $12, Available, One Size, https://poshmark.com/listing/Red-Ruffled-Tank-Top-5ef38c59ae766f47917703c0
"John Galt Brandy Melville Hoodie in Navy Color.", $25, Available, One Size., https://poshmark.com/listing/John-Galt-Brandy-Melville-Hoodie-in-Navy-Color-5ef38c74bb593799e7ed842f
"dELiA*s coral sundress", $18, Available, S, https://poshmark.com/listing/dELiAs-coral-sundress-5ef38bdc576006c20e07507b
"John Galt Brandy Melville Sweater.", $20, Available, One Size., https://poshmark.com/listing/John-Galt-Brandy-Melville-Sweater-5ef38b6c3bad6d7803271c13
"JOHN GALT BLOUSE", $20, Available, S, https://poshmark.com/listing/JOHN-GALT-BLOUSE-5ef38a7092078633cebf9e99
"Brandy Melville Black Cargo Pants", $17, Available, XS, https://poshmark.com/listing/Brandy-Melville-Black-Cargo-Pants-5ef3858bc693bdf90bf245d9
"15 clothing piece mystery box!", $50, Available, OS, https://poshmark.com/listing/15-clothing-piece-mystery-box-5ef385fc1801362c0fcc85cd
"Brandy Melville Amanda Skeleton Sweatshirt", $30, Available, L, https://poshmark.com/listing/Brandy-Melville-Amanda-Skeleton-Sweatshirt-5ef3764a47e0e4ecfef12227
"Brandy Melville/John Galt Windbreaker ZipUp Jacket", $25, Available, OS, https://poshmark.com/listing/Brandy-MelvilleJohn-Galt-Windbreaker-ZipUp-Jacket-5ef37d9a8da5c9a2445721b8
"Brandy Melville Shorts", $15, Available, XS, https://poshmark.com/listing/Brandy-Melville-Shorts-5ef37f68ffba94769ed64703
"John Galt Cropped Long Sleeve", $15, Available, S, https://poshmark.com/listing/John-Galt-Cropped-Long-Sleeve-5ef37d17163df4be7d541cde
"Brandy Melville lounge shorts", $12, Available, OS, https://poshmark.com/listing/Brandy-Melville-lounge-shorts-5ef37a7b2ca9abd6e4e74591
"Free People Camille velvet panties", $22, Available, S, https://poshmark.com/listing/Free-People-Camille-velvet-panties-5ef379b806d59c59d147af2f
"John Galt (Brandy Melville) White Corduroy Pants", $25, Available, Medium, https://poshmark.com/listing/John-Galt-Brandy-Melville-White-Corduroy-Pants-5ef3780881a36c116affe67e
"John Galt/Brandy Mellville Jean Jacket", $14, Available, S, https://poshmark.com/listing/John-GaltBrandy-Mellville-Jean-Jacket-5ef368c38da5c9696356847c
"Brandy Melville John Galt cropped blue tee", $8, Available, one size, https://poshmark.com/listing/Brandy-Melville-John-Galt-cropped-blue-tee-5ef369972f3d194a03620daf
"BRANDY MELVILLE 'CREW' PULLOVER", $42, Available, o/s, https://poshmark.com/listing/BRANDY-MELVILLE-CREW-PULLOVER-5ef2bee78d9be9188ef168e5
"DO & BE Dress Small", $38, Available, S, https://poshmark.com/listing/DO-BE-Dress-Small-5ef35f7c1e75a8139bd070aa
"Little Black Dress Small", $38, Available, S, https://poshmark.com/listing/Little-Black-Dress-Small-5ef35e35162958e5b87aa76a
"Formal Semi-Formal Dress", $38, Available, XS, https://poshmark.com/listing/Formal-SemiFormal-Dress-5ef35d912b46b5c76d3ab677
"Velvet Black Dress Medium", $38, Available, M, https://poshmark.com/listing/Velvet-Black-Dress-Medium-5ef35c99b69e9ed90861f7e0
"Trixxi Black and Red Dress xtra small", $33, Available, XS, https://poshmark.com/listing/Trixxi-Black-and-Red-Dress-xtra-small-5ef35bc4727b3e6d032505bd
"Forever 21 Pink Dress Small", $38, Available, S, https://poshmark.com/listing/Forever-21-Pink-Dress-Small-5ef35a8d2b46b53f1d39f3b0
"M/M Lace White Dress Small", $38, Available, S, https://poshmark.com/listing/MM-Lace-White-Dress-Small-5ef359ce162958d58c7988b5
